Market,Geography Name,UPP Index,Rank
Akron - OH,,0.9928773765193489,1
Albany - NY,,1.012994168037277,2
Albuquerque - NM,,1.0130974306166476,3
Anchorage - AK,,1.0140573947157208,4
Asheville - NC,,1.0219815741309024,5
Atlanta - GA,,1.0226448518626836,6
Augusta - GA,,1.0401243457281444,7
Austin - TX,,1.0404439424909833,8
Bakersfield - CA,,1.0410463177617995,9
Baltimore - MD,,1.0464396433675678,10
Baton Rouge - LA,,1.0478310702657332,11
Beaumont - TX,,1.0492726955956597,12
Birmingham - AL,,1.0527675834262715,13
Boise - ID,,1.0553222479727848,14
Boston - MA,,1.0557848718318184,15
Brownsville-Harlingen - TX,,1.0592274982469414,16
Buffalo - NY,,1.060803340196355,17
Canton - OH,,1.0649228365888024,18
Charleston - SC,,1.0675623872950049,19
Charlotte - NC,,1.0688354485309288,20
Chattanooga - TN,,1.071077019585822,21
Chicago - IL,,1.071438291588352,22
Cincinnati - OH,,1.0717481297673044,23
Cleveland - OH,,1.0732768295471584,24
Colorado Springs - CO,,1.0735908686130324,25
Columbia - SC,,1.0738188862730316,26
Columbus - OH,,1.0777841048818984,27
Corpus Christi - TX,,1.0790478483902408,28
Dallas-Fort Worth - TX,,1.0854267585181985,29
Dayton - OH,,1.0921490978881978,30
Daytona Beach - FL,,1.0934017380250203,31
Denver - CO,,1.0957550653094192,32
Des Moines - IA,,1.1012026129534558,33
Detroit - MI,,1.1017779745984582,34
Durham - NC,,1.1018305613714037,35
East Bay - CA,,1.1050471492909997,36
El Paso - TX,,1.1062227087184984,37
Fayetteville - NC,,1.1069176565154601,38
Flint - MI,,1.1101078773308404,39
Fort Lauderdale - FL,,1.1104539990164695,40
Fort Myers - FL,,1.1112704634601525,41
Fort Wayne - IN,,1.1124487681353983,42
Fresno - CA,,1.1181819977544802,43
Grand Rapids - MI,,1.120393600756929,44
Greensboro - NC,,1.1230408384152142,45
Greenville - SC,,1.1231687750316408,46
Gulfport-Biloxi-Pascagoula - MS,,1.1232697165938408,47
Harrisburg - PA,,1.1260243892965567,48
Hartford - CT,,1.126320945134722,49
Honolulu - HI,,1.1283139732587204,50
Houston - TX,,1.1305415327915833,51
Huntsville - AL,,1.1312341550755969,52
Indianapolis - IN,,1.1323213304097086,53
Inland Empire - CA,,1.1323307506995648,54
Jackson - MS,,1.1332609553040234,55
Jacksonville - FL,,1.1376981721294444,56
Kansas City - MO,,1.140989492085835,57
Killeen - TX,,1.141961365847806,58
Knoxville - TN,,1.1431119162890706,59
Lafayette - LA,,1.1447036518429612,60
Lakeland - FL,,1.1448423868813202,61
Lancaster - PA,,1.1460355591342402,62
Lansing - MI,,1.1461819559860371,63
Las Vegas - NV,,1.147645268520725,64
Lehigh Valley - PA,,1.1539947024634911,65
Lexington - KY,,1.1581274455605304,66
Little Rock - AR,,1.1624458995943043,67
Long Island - NY,,1.165733132545356,68
Los Angeles - CA,,1.1735250228941922,69
Louisville - KY,,1.1770953570873515,70
Madison - WI,,1.1793401879189236,71
Manchester - NH,,1.1854509213904791,72
McAllen - TX,,1.1876065888097713,73
Melbourne - FL,,1.1886332986319517,74
Memphis - TN,,1.1891830813198834,75
Miami - FL,,1.1894608640819857,76
Milwaukee - WI,,1.1908362413021365,77
Minneapolis - MN,,1.1942694996817342,78
Mobile - AL,,1.1947891276738727,79
Modesto - CA,,1.1956180353886958,80
Montgomery - AL,,1.195740656019774,81
Myrtle Beach - SC,,1.1990902732397062,82
Naples - FL,,1.2016674420376112,83
Nashville - TN,,1.201774973374766,84
New Haven - CT,,1.2036942105256947,85
New Orleans - LA,,1.2057988578860839,86
New York - NY,,1.20608467243886,87
Norfolk - VA,,1.2092153717660232,88
Northern New Jersey - NJ,,1.2135590065741488,89
Northwest Arkansas - AR,,1.2143637497259443,90
Ocala - FL,,1.2157152156675246,91
Ogden - UT,,1.2185844137429873,92
Oklahoma City - OK,,1.2209108581400827,93
Omaha - NE,,1.2209731452912003,94
Orange County - CA,,1.221319905004765,95
Orlando - FL,,1.2237041692673059,96
Palm Beach - FL,,1.2238966665156301,97
Pensacola - FL,,1.2265303104246117,98
Philadelphia - PA,,1.2313709089960567,99
Phoenix - AZ,,1.236458887734356,100
Pittsburgh - PA,,1.2415385458248833,101
Port St. Lucie - FL,,1.2419542015131653,102
Portland - ME,,1.2475734286405298,103
Portland - OR,,1.2494339021829035,104
Poughkeepsie - NY,,1.251635829764861,105
Providence - RI,,1.2532316400594297,106
Provo - UT,,1.2551401746519706,107
Raleigh - NC,,1.2558243672940377,108
Reading - PA,,1.2560724280782287,109
Reno - NV,,1.2573657647464005,110
Richmond - VA,,1.2683678026561278,111
Rochester - NY,,1.2690116134751586,112
Sacramento - CA,,1.2691648009040823,113
Saint Louis - MO,,1.2698566052231035,114
Salem - OR,,1.2762171651636824,115
Salinas - CA,,1.2788807162395932,116
Salisbury - MD,,1.286247707999674,117
Salt Lake City - UT,,1.2876596296874743,118
San Antonio - TX,,1.2925438724268632,119
San Diego - CA,,1.316440370942154,120
San Francisco - CA,,1.320058421445463,121
San Jose - CA,,1.3228540854469406,122
Santa Barbara - CA,,1.3323796306552702,123
Santa Rosa - CA,,1.3412564243529101,124
Sarasota - FL,,1.3548976361831913,125
Savannah - GA,,1.358175162739994,126
Scranton - PA,,1.363906619793661,127
Seattle - WA,,1.3681647481042944,128
Shreveport - LA,,1.3695604715884415,129
Spokane - WA,,1.3701841101464856,130
Springfield - MA,,1.3723753942374717,131
Springfield - MO,,1.400723203340134,132
Stamford - CT,,1.4057259140768896,133
Stockton - CA,,1.4347657704412156,134
Syracuse - NY,,1.453491350657152,135
Tallahassee - FL,,1.4630103269491639,136
Tampa - FL,,1.4687072148485452,137
Toledo - OH,,1.4819263576894905,138
Trenton - NJ,,1.4967942265850251,139
Tucson - AZ,,1.507645902587493,140
Tulsa - OK,,1.538400403903005,141
Vallejo-Fairfield - CA,,1.5392183363894854,142
Ventura - CA,,1.5515375546141168,143
Visalia - CA,,1.5658098546588304,144
Washington - DC,,1.5836609195404623,145
Wichita - KS,,1.5858342670658063,146
Winston-Salem - NC,,1.6119474485471121,147
Worcester - MA,,1.8786469822945957,148
York - PA,,1.9130087255709125,149
Youngstown - OH,,2.106506804119923,150
