SubColumn,Category,MeanAbsRankChange,StdRankChange,MedianAbsRankChange,P90AbsRankChange,MaxAbsRankChange,PctMarketsMoved10plus
SalePrice_Forward5,SalePrice,39.21333333333333,50.811138661523195,32.5,82.49999999999997,141.0,83.33333333333334
SalePrice_Forward3,SalePrice,38.50666666666667,52.05650002286816,28.5,81.1,149.0,79.33333333333333
Income_Forward1,Income,37.32,47.273870075828455,28.0,84.0,114.0,82.66666666666667
AskingRent_Forward5,AskingRent,36.74666666666667,50.35311551047004,27.0,82.69999999999996,146.0,78.66666666666666
EffectiveRent_Forward5,EffectiveRent,36.14,49.80621462889903,26.5,86.19999999999999,146.0,76.0
AskingRent_Forward10,AskingRent,35.57333333333333,44.84619502314206,28.5,71.0,140.0,86.0
EffectiveRent_Forward10,EffectiveRent,35.20666666666666,44.765359430274884,30.0,75.39999999999998,140.0,86.66666666666667
SalePrice_Forward10,SalePrice,34.25333333333333,42.93478744741101,29.5,66.29999999999998,116.0,78.66666666666666
SalePrice_Hist3,SalePrice,33.413333333333334,42.39681512668028,28.0,69.29999999999998,140.0,80.66666666666666
EffectiveRent_Forward3,EffectiveRent,31.933333333333334,46.8993133514891,20.5,80.19999999999999,149.0,73.33333333333333
SalePrice_Hist1,SalePrice,31.906666666666666,41.83989939290071,26.0,68.1,120.0,79.33333333333333
AskingRent_Forward3,AskingRent,31.253333333333334,46.37489485145192,20.0,80.0,149.0,71.33333333333334
Income_Forward3,Income,30.933333333333334,40.87893404092318,24.0,65.39999999999998,123.0,74.0
SalePrice_Forward1,SalePrice,30.106666666666666,43.89279190491366,18.0,72.1,149.0,68.66666666666667
EffectiveRent_Forward1,EffectiveRent,29.446666666666665,42.81212533923818,18.5,70.1,147.0,71.33333333333334
Income_Forward5,Income,27.36,36.547110353183676,20.0,59.0,120.0,76.0
Supply_Forward1,Supply,26.96,38.55023742299297,17.0,71.19999999999999,120.0,64.0
Employment_Forward10,Employment,26.322147651006713,39.384952667793,17.0,54.400000000000034,144.0,67.33333333333333
AskingRent_Forward1,AskingRent,26.12,41.27140485930183,13.0,66.39999999999998,148.0,58.666666666666664
Employment_Hist5,Employment,24.469798657718123,33.926520561177384,18.0,60.20000000000002,116.0,67.33333333333333
Income_Forward10,Income,24.413333333333334,33.82187846774996,17.0,58.099999999999994,114.0,66.66666666666666
UPP_Forward5,UPP,21.786666666666665,30.941599026804845,15.5,47.0,138.0,62.66666666666667
SalePrice_Hist5,SalePrice,21.36,28.977890206248095,15.0,52.0,105.0,62.66666666666667
Supply_Forward3,Supply,18.933333333333334,26.550951397910925,14.0,43.19999999999999,86.0,60.66666666666667
Supply_Forward5,Supply,16.546666666666667,22.806745734688047,12.0,36.0,68.0,58.666666666666664
Supply_Forward10,Supply,13.706666666666667,19.965742472625994,10.0,30.099999999999994,96.0,52.0
SalePrice_Hist10,SalePrice,13.346666666666666,17.87090169848121,10.0,30.099999999999994,54.0,52.0
Population_Forward1,Population,12.746666666666666,19.210595510440893,8.0,32.0,97.0,47.333333333333336
Population_Hist5,Population,9.453333333333333,14.783448027117009,5.0,23.0,72.0,33.33333333333333
Employment_Forward1,Employment,9.06711409395973,12.156687604355296,7.0,20.0,40.0,38.666666666666664
Population_Forward3,Population,7.626666666666667,11.916938483469316,5.0,20.0,52.0,23.333333333333332
Employment_Hist10,Employment,7.046979865771812,10.301455679496632,5.0,15.400000000000034,40.0,24.0
Supply_Hist5,Supply,7.026666666666666,10.566503996658941,5.0,17.0,55.0,24.0
Employment_Forward3,Employment,6.953020134228188,9.588078712706318,5.0,16.0,40.0,26.666666666666668
UPP_Hist10,UPP,6.306666666666667,9.784249773189618,4.0,15.0,61.0,22.666666666666664
Employment_Forward5,Employment,5.845637583892618,8.480732208479779,4.0,13.0,42.0,20.0
Population_Forward5,Population,5.626666666666667,9.554506298288093,3.0,13.0,54.0,13.333333333333334
Population_Hist10,Population,5.013333333333334,9.84987990932823,3.0,10.099999999999994,75.0,12.666666666666668
Population_Forward10,Population,0.0,0.0,0.0,0.0,0.0,0.0
UPP_Forward10,UPP,,,,,,0.0
